RT Ponting,10,45,0,28,1,0,35.71,2,v Bangladesh,Darwin,2003-07-18,0,0,0-49
RT Ponting,59,120,0,79,10,1,74.68,2,v Bangladesh,Cairns,2003-07-25,1,0,50-99
RT Ponting,37,91,0,65,6,0,56.92,1,v Zimbabwe,Perth,2003-10-09,0,0,0-49
RT Ponting,53,115,1,71,8,0,74.64,4,v Zimbabwe,Sydney,2003-10-17,1,0,50-99
RT Ponting,169,314,0,249,23,2,67.87,2,v Zimbabwe,Sydney,2003-10-17,0,1,150-199
RT Ponting,50,111,0,75,5,0,66.66,3,v India,Brisbane,2003-12-04,1,0,50-99
RT Ponting,54,125,0,88,7,1,61.36,1,v India,Brisbane,2003-12-04,1,0,50-99
RT Ponting,0,19,0,17,0,0,0,3,v India,Adelaide,2003-12-12,0,0,0-49
RT Ponting,242,508,0,352,31,0,68.75,1,v India,Adelaide,2003-12-12,0,1,200+
RT Ponting,31,73,1,59,3,0,52.54,4,v India,Melbourne,2003-12-26,0,0,0-49
RT Ponting,257,590,0,458,25,0,56.11,2,v India,Melbourne,2003-12-26,0,1,200+
RT Ponting,25,68,0,48,2,0,52.08,2,v India,Sydney,2004-01-02,0,0,0-49
RT Ponting,47,146,0,104,7,0,45.19,4,v India,Sydney,2004-01-02,0,0,0-49
RT Ponting,21,40,0,39,4,0,53.84,1,v Sri Lanka,Galle,2004-03-08,0,0,0-49
RT Ponting,28,110,0,78,2,0,35.89,3,v Sri Lanka,Galle,2004-03-08,0,0,0-49
RT Ponting,10,17,0,11,2,0,90.9,1,v Sri Lanka,Kandy,2004-03-16,0,0,0-49
RT Ponting,27,74,0,49,2,1,55.1,3,v Sri Lanka,Kandy,2004-03-16,0,0,0-49
RT Ponting,20,48,0,36,2,0,55.55,3,v Sri Lanka,Colombo (SSC),2004-03-24,0,0,0-49
RT Ponting,92,191,0,138,11,1,66.66,1,v Sri Lanka,Colombo (SSC),2004-03-24,1,0,50-99
RT Ponting,22,32,0,27,3,0,81.48,1,v Sri Lanka,Cairns,2004-07-09,0,0,0-49
RT Ponting,45,122,0,109,3,1,41.28,3,v Sri Lanka,Cairns,2004-07-09,0,0,0-49
RT Ponting,11,29,0,19,1,0,57.89,2,v India,Mumbai,2004-11-03,0,0,0-49
RT Ponting,12,20,0,15,2,0,80,4,v India,Mumbai,2004-11-03,0,0,0-49
RT Ponting,51,116,0,84,7,0,60.71,2,v New Zealand,Brisbane,2004-11-18,1,0,50-99
RT Ponting,26,82,1,57,0,0,45.61,3,v New Zealand,Adelaide,2004-11-26,0,0,0-49
RT Ponting,68,96,0,79,11,0,86.07,1,v New Zealand,Adelaide,2004-11-26,1,0,50-99
RT Ponting,25,75,0,54,2,0,46.29,1,v Pakistan,Perth,2004-12-16,0,0,0-49
RT Ponting,98,233,0,176,13,0,55.68,3,v Pakistan,Perth,2004-12-16,1,0,50-99
RT Ponting,7,22,0,9,1,0,77.77,2,v Pakistan,Melbourne,2004-12-26,0,0,0-49
RT Ponting,62,102,1,91,5,1,68.13,4,v Pakistan,Melbourne,2004-12-26,1,0,50-99
RT Ponting,4,1,1,1,1,0,400,4,v Pakistan,Sydney,2005-01-02,0,0,0-49
RT Ponting,207,491,0,332,30,0,62.34,2,v Pakistan,Sydney,2005-01-02,0,1,200+
